path,sha256,size_bytes,media_type,role,document_id,paper_version
Archive.zip,20e5b6be5c3060012c48446d1b51067996cd4f13df1d6a73ee8eeb8f855e3ab1,85557591,application/zip,source_archive,,
literature/raw/2306.14048.pdf,f2d699db2c1fe34b53677067ba6f3b903a6f87dbd04e4f6ad5b9fa324cdb36df,3482403,application/pdf,paper,2306.14048,2306.14048v3
literature/raw/2309.17453.pdf,e8a7de67c7c57642648362651b4cf64fd852467e18865a298916a36098314819,16952848,application/pdf,paper,2309.17453,2309.17453v4
literature/raw/2310.07240.pdf,3bbadb232c66d89dd1a68ecea65d76edc5e67074a97072e4a401ca7a6335a8de,1657938,application/pdf,paper,2310.07240,2310.07240v6
literature/raw/2401.18079.pdf,7ca1001fee6be5013d40ebf00e81df3bb677c90f1feb5c78b413cba64589ecfc,2169830,application/pdf,primary_method_paper,2401.18079,2401.18079v6
literature/raw/2402.02750.pdf,df31ef32d71bfb280c533c5db8220cadf5ef42076bf45d82ba4c8da8e50ea5f4,2194402,application/pdf,primary_method_paper,2402.02750,2402.02750v2
literature/raw/2402.18096.pdf,dec91fa435e63c57ee62e52b4a27bbbef55a203020f88ca00d4bfd1351c1fee2,5581757,application/pdf,paper,2402.18096,2402.18096v1
literature/raw/2403.05527.pdf,37cf9a0ce2bcb72cfb960e40c10abb10b7d1b040897d570b34ce390c22e329e9,5189345,application/pdf,paper,2403.05527,2403.05527v4
literature/raw/2404.00456.pdf,f611888c63ef63a5c0232e2c8416619f0c9ace08d0e05692731da82791202e3e,624957,application/pdf,paper,2404.00456,2404.00456v2
literature/raw/2404.14469.pdf,d17ce59a5a3342c9b0560c3503b0136f794fae92910421aa07dbca32e4279bf4,1066370,application/pdf,paper,2404.14469,2404.14469v2
literature/raw/2405.06219.pdf,fcb0a2dfb273f95ca7c878a98c507889471b252b08eae0facd873b1990859962,28671206,application/pdf,paper,2405.06219,2405.06219v3
literature/raw/2405.14256.pdf,8765c59681a203fc1fd34d1908e7195699b2e1118e2aca0791449c306f4eebf2,1108960,application/pdf,paper,2405.14256,2405.14256v1
literature/raw/2406.02069.pdf,0bcd6c0fba461e76a746a91316847b7552b441a4ea4d6481e9561a0f7fa9fb01,17431584,application/pdf,paper,2406.02069,2406.02069v4
